Ticker,Nome,Negócios,Última (R$),Variação
CSAN3,Cosan,84.158.900,"5,25","-1,32%"
AMBP3,Ambipar,31.282.600,"0,30","+11,11%"
VALE3,Vale,28.418.900,"72,38","+0,58%"
B3SA3,B3,25.030.000,"13,43","-1,03%"
ABEV3,Ambev,24.557.600,"13,65","-1,52%"
BEEF3,Minerva,23.036.900,"5,37","-6,77%"
PETR4,Petrobras,21.625.200,"30,71","-0,36%"
COGN3,Cogna,20.341.800,"3,13","-0,95%"
CVCB3,CVC,19.530.400,"2,20","+1,85%"
BBDC4,Banco Bradesco,19.380.800,"18,20","+0,17%"
RAIZ4,Raízen,18.894.200,"0,80","-1,23%"
ITUB4,Itaú Unibanco,18.846.800,"39,15","-0,15%"
ITSA4,Itaúsa,18.672.900,"11,63","-0,43%"
CPLE3,Copel,18.163.600,"12,14","-1,38%"
BBAS3,Banco do Brasil,16.077.000,"21,68","-1,09%"
PETR3,Petrobras,15.637.900,"32,30","-0,83%"
AXIA3,Axia Energia,15.010.500,"50,00","-1,21%"
LREN3,Lojas Renner,14.265.600,"13,38","-0,52%"
MBRF3,Marfrig,13.462.500,"19,64","-1,70%"
CSNA3,Siderúrgica Nacional,12.462.400,"8,70","-2,68%"
CMIG4,Cemig,12.023.400,"11,16","-0,36%"
VAMO3,Grupo Vamos,11.660.400,"3,25","+0,62%"
PCAR3,Grupo Pão de Açúcar,11.494.300,"3,96","+4,21%"
MGLU3,Magazine Luiza,11.298.000,"8,83","-1,23%"
GOAU4,Metalúrgica Gerdau,10.937.600,"8,91","-1,00%"
POMO4,Marcopolo,10.710.300,"5,88","-1,51%"
DIRR3,Direcional,10.710.200,"13,63","-3,47%"
ALPA4,Alpargatas,9.902.000,"11,73","-1,76%"
VBBR3,Vibra Energia,9.656.400,"25,76","+1,70%"
GMAT3,Grupo Mateus,9.621.600,"4,49","-0,44%"
USIM5,Usiminas,8.535.400,"5,98","+0,50%"
CMIN3,CSN Mineração,8.175.600,"5,23","-2,61%"
ALOS3,Allos,7.930.300,"28,55","+0,63%"
BRAV3,3R Petroleum,7.634.200,"16,67","-1,01%"
CEAB3,C&A,7.625.600,"12,41","-2,74%"
PRIO3,PetroRio,7.574.500,"41,76","+0,82%"
ASAI3,Assaí,7.441.600,"7,28","+0,00%"
CXSE3,Caixa Seguridade,7.287.700,"16,19","-0,49%"
CSMG3,COPASA,7.089.600,"43,47","-1,02%"
HAPV3,Hapvida,6.999.300,"14,56","-1,15%"
RADL3,RaiaDrogasil,6.571.500,"23,69","+1,02%"
PGMN3,Pague Menos,6.554.100,"6,25","+2,63%"
GGBR4,Gerdau,5.849.100,"20,51","+0,59%"
CYRE3,Cyrela,5.831.400,"23,96","-19,11%"
AURE3,Auren Energia,5.718.600,"11,63","-2,02%"
SUZB3,Suzano,5.570.600,"51,87","+0,82%"
EZTC3,EZTEC,5.483.000,"13,70","-0,22%"
RENT3,Localiza,5.341.600,"43,44","-0,30%"
NATU3,NATURA,5.328.000,"7,20","-3,36%"
PETZ3,Petz,5.318.800,"4,39","+1,15%"
TIMS3,TIM,5.150.400,"21,64","+1,41%"
EQTL3,Equatorial Energia,5.026.900,"38,30","-0,52%"
SLCE3,SLC Agrícola,4.996.500,"14,79","-7,85%"
RCSL4,Recrusul,4.978.700,"7,30","+8,79%"
ENEV3,Eneva,4.975.600,"20,02","-0,79%"
MRVE3,MRV,4.902.600,"7,72","-0,90%"
ONCO3,Oncoclínicas,4.845.300,"2,72","+0,37%"
WEGE3,WEG,4.801.300,"48,25","-0,54%"
DASA3,Dasa,4.732.200,"4,48","-1,32%"
BBDC3,Banco Bradesco,4.535.900,"15,63","+0,26%"
SMFT3,Smart Fit,4.231.600,"22,98","-1,37%"
MOTV3,Motiva,4.155.300,"14,95","-0,73%"
RECV3,PetroRecôncavo,4.043.000,"11,01","-2,74%"
RAIL3,Rumo,3.952.400,"14,75","-0,07%"
CURY3,Cury,3.951.300,"31,52","-2,20%"
MLAS3,Multilaser,3.946.900,"1,31","-3,68%"
