Raz„o Social;Fundo;CÛdigo
GRAND PLAZA SHOPPING FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII ABC IMOB;ABCP
AD SHOPPING FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ADSH;ADSH
HCO OPPS AERO I FII DE RESPONSABILIDADE LIMITADA;FII AERO;AERO
AF INVEST REAL ESTATE MULTIESTRAT…GIA FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII AFHF;AFHF
AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILI¡RIO RECEBÕVEIS IMOBILI¡RIOS RESPONSABILIDADE LIMITADA;FII AFHI CRI;AFHI
ARCH EDIFÕCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE LIMITADA;FII AUTONOMY;AIEC
AJ MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII AJ MALLS;AJFI
FII TORRE ALMIRANTE;FII TORRE AL;ALMI
ALIANZA CR…DITO IMOBILI¡RIO FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ALIANZAC;ALZC
ALIANZA TRUST RENDA IMOBILI¡RIA - FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ALIANZA;ALZR
FUNDO DE INVESTIMENTO IMOBILI¡RIO - FII ANCAR IC - RESPONSABILIDADE LIMITADA;FII ANCAR IC;ANCR
NAVI RESIDENCIAL FUNDO DE INVESTIMENTO IMOBILI¡RIO - RESPONSABILIDADE  LIMITADA;FII NAVI RSD;APTO
APEX MALLS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII APEX MS;APXM
FUNDO DE INVESTIMENTO IMOBILI¡RIO APEX REALTY - FII;FII APXR;APXR
APEX URB FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII APXU;APXU
AROEIRA 333 RENDA LOGÕSTICA FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII AROA;AROA
OPEN K ATIVOS E RECEBIVEIS IMOBILIARIOS - FUNDO DE INVESTIMENTO IMOBILIARIO;FII ATRIO;ARRI
¡RTEMIS FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ARTE;ARTE
ARX DOVER RECEBÕVEIS FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII ARXD R;ARXD
DAYCOVAL RETROFITS I FUNDO DE INVESTIMENTO IMOBILI¡RIO RESPONSABILIDADE LIMITADA;FII ASA RET;ASRF
HAZ FUNDO DE INVESTIMENTO IMOBILI¡RIO;FII HAZ;ATCR
HEDGE ATRIUM SHOPPING SANTO ANDR… FUNDO DE INVESTIMENTO IMOBILI¡RIO DE RESPONSABILIDADE LIMITADA;FII HATRIUM;ATSA
